,pais,Participación,conteo
,Cántaro,0.13%,1.0
,Cíngulo,0.54%,4.0
,Dados,1.07%,8.0
,Daga,2.42%,18.0
,Demonio,1.34%,10.0
,Demonios,0.13%,1.0
,Devoción,0.13%,1.0
,Dios,0.13%,1.0
,Doce estrellas,9.93%,74.0
,Dragón,4.16%,31.0
,Edificación,0.40%,3.0
,Elefante,0.67%,5.0
,Escalera,4.30%,32.0
,Escapulario,0.40%,3.0
,Escorpión,0.67%,5.0
,Escudo,2.42%,18.0
,Escudo papal,0.94%,7.0
,Esfera,12.21%,91.0
,Espada,9.40%,70.0
,Espada flamigera,2.42%,18.0
,Espejo,3.89%,29.0
,Espigas,0.27%,2.0
,Espinas,0.13%,1.0
,Esponja,2.42%,18.0
,Espíritu santo,5.50%,41.0
,Estandarte,0.81%,6.0
,Estandarte con cruz,5.50%,41.0
,Estigma,2.15%,16.0
,Estola,0.27%,2.0
,Estrella,3.62%,27.0
,Eucaristía,0.27%,2.0
,Farol,0.54%,4.0
,Fauces de la bestia,1.21%,9.0
,Flauta,0.40%,3.0
,Flechas,4.30%,32.0
,Flores,10.07%,75.0
,Fruta,0.67%,5.0
,Frutas,0.27%,2.0
,Frutos,1.61%,12.0
,Fuego,4.43%,33.0
,Fuente,8.05%,60.0
,Gafas,0.13%,1.0
,Gallo,1.74%,13.0
,Gato,0.13%,1.0
,Granada,0.27%,2.0
,Guante,0.27%,2.0
,Guitarra,0.40%,3.0
,Habito eclesiástico,13.15%,98.0
,Hacha,0.40%,3.0
,Hidra,0.27%,2.0
,Hilo,0.27%,2.0
,Hisopo,0.54%,4.0
,Hoja de papel,0.27%,2.0
,Hostia,4.43%,33.0
,Hoz,1.21%,9.0
,Huerto,0.81%,6.0
,Humo,0.40%,3.0
,Iglesia,1.07%,8.0
,Incensario,2.28%,17.0
,Instrumentos de cartografía,0.13%,1.0
,Jardín,0.94%,7.0
,Jardín cerrado,1.21%,9.0
,Jarra,3.22%,24.0
,Jesús,0.13%,1.0
,Jilguero,1.61%,12.0
,Joyas,2.95%,22.0
,Laberinto,0.13%,1.0
,Lagar,0.67%,5.0
,Laguna,0.40%,3.0
,Lanza,6.98%,52.0
,Laurel,1.48%,11.0
,Lazo,0.67%,5.0
,Laúd,0.13%,1.0
,Leche,0.13%,1.0
,León,2.95%,22.0
,Libro,12.75%,95.0
,Lira,0.13%,1.0
,Lirio,1.21%,9.0
,Llaga,5.77%,43.0
,Llama de fuego,3.89%,29.0
,Llave,4.03%,30.0
,Luna,1.07%,8.0
,Luz,0.27%,2.0
,Lámpara,1.34%,10.0
,Látigo,3.22%,24.0
,Mandolina,1.34%,10.0
,Mandorla,1.21%,9.0
,Mano,1.07%,8.0
,Manto,12.48%,93.0
,Manto blanco,0.27%,2.0
,Manto rojo,9.26%,69.0
,Manzanas,1.21%,9.0
,Mar,2.01%,15.0
,Martillo,2.01%,15.0
,Mazo,0.54%,4.0
,Medalla,0.13%,1.0
,Medallón,3.09%,23.0
,Media luna,6.17%,46.0
,Menorá,0.40%,3.0
,Mesa,0.54%,4.0
,Mitra,3.22%,24.0
,Monasterio,0.13%,1.0
,Moneda,0.81%,6.0
,Muerte,0.40%,3.0
,Mundo,2.55%,19.0
,Musulmán,0.81%,6.0
,Máscara,0.27%,2.0
,Nimbo de luz,11.54%,86.0
,Niños,1.07%,8.0
,Nube,10.20%,76.0
,Obelisco,0.40%,3.0
,Oboe,0.13%,1.0
,Ofrenda,0.40%,3.0
,Ojos,1.21%,9.0
,Olivo,0.13%,1.0
,Olla,0.27%,2.0
,Orbe,3.89%,29.0
,Oreja,0.81%,6.0
,Oveja,1.21%,9.0
,Pala,0.40%,3.0
,Palma,2.68%,20.0
,Palma del martirio,6.44%,48.0
,Paloma,14.36%,107.0
,Pan,0.40%,3.0
,Pavo real,0.94%,7.0
,Pañuelo,0.54%,4.0
,Pelo,0.13%,1.0
,Pelícano,0.13%,1.0
,Penacho,0.13%,1.0
,Perro,0.94%,7.0
,Pez,1.61%,12.0
,Piedra,0.27%,2.0
,Pinzas,0.13%,1.0
,Pipa,0.13%,1.0
,Platón,0.40%,3.0
,Pluma,6.17%,46.0
,Pobreza (mendigo),0.27%,2.0
,Polvo,0.13%,1.0
,Pompas de jabón,0.27%,2.0
,Pozo,1.48%,11.0
,Procesión,0.13%,1.0
,Puerta,1.07%,8.0
,Pájaro,0.13%,1.0
,Querubín(es),17.99%,134.0
,Ramas,0.13%,1.0
,Ramas de olivo,0.27%,2.0
,Rayo,2.01%,15.0
,Rebaño,0.81%,6.0
,Recipiente,0.67%,5.0
,Reloj,1.07%,8.0
,Rollo,0.40%,3.0
,Rompimiento de gloria,5.23%,39.0
,Rosa blanca,2.28%,17.0
,Rosa roja,2.28%,17.0
,Rosario,2.15%,16.0
,Rueda,0.81%,6.0
,Rueda arpada,0.13%,1.0
,Rueda del martirio,0.13%,1.0
,Río,0.67%,5.0
,Sagrado corazón,2.01%,15.0
,Sangre,5.37%,40.0
,Seno al descubierto,2.82%,21.0
,Serpiente,5.64%,42.0
,Serpientes,0.27%,2.0
,Sin datos,1.07%,8.0
,Soga,0.94%,7.0
,Sol,5.23%,39.0
,Sombrero,2.15%,16.0
,Sudario,0.27%,2.0
,Sábana,0.13%,1.0
,Símbolos de la pasión,0.13%,1.0
,Templete,0.13%,1.0
,Tenazas,1.74%,13.0
,Tiara,4.30%,32.0
,Tiara papal,2.55%,19.0
,Tijeras,0.13%,1.0
,Timón,0.13%,1.0
,Tintero,0.54%,4.0
,Toro,1.07%,8.0
,Torre,3.49%,26.0
,Tridente,0.13%,1.0
,Trigo,1.07%,8.0
,Trinidad,0.13%,1.0
,Triángulo equilátero,3.89%,29.0
,Trompeta,3.36%,25.0
,Trompeta juico final,0.67%,5.0
,Trono,0.40%,3.0
,Unicornio,0.13%,1.0
,Uróboros,0.40%,3.0
,Uvas,4.16%,31.0
,Vara,1.61%,12.0
,Vara de esculapio,0.40%,3.0
,Vara florida,1.61%,12.0
,Vasija,0.13%,1.0
,Vela,2.01%,15.0
,Ventana,0.13%,1.0
,Viacrucis,0.13%,1.0
,Vino,0.27%,2.0
,Violonchelo,0.13%,1.0
,Violín,0.27%,2.0
,Virgen María,0.27%,2.0
,Águila,2.15%,16.0
,Ángeles,3.22%,24.0
,Árbol,2.15%,16.0
,Árbol de la vida,0.67%,5.0
,Árbol del conocimiento,1.21%,9.0
,Órgano,0.40%,3.0
