,pais,Participación,conteo
,Clavos,0.22%,2.0
,Clero,0.33%,3.0
,Cocina,2.88%,26.0
,Cofres,0.22%,2.0
,Colina,0.33%,3.0
,Collar,3.66%,33.0
,Columna,2.99%,27.0
,Comercio,1.88%,17.0
,Comida,13.41%,121.0
,Compás,0.44%,4.0
,Concha,0.33%,3.0
,Convento,0.33%,3.0
,Copa,1.66%,15.0
,Corazón,0.11%,1.0
,Corazón flameante,0.11%,1.0
,Cordero,1.33%,12.0
,Cordón de tres dobleces,0.44%,4.0
,Cordón franciscano,0.44%,4.0
,Cordón negro,0.11%,1.0
,Corneta,0.55%,5.0
,Corona,4.66%,42.0
,Corona de espinas,0.22%,2.0
,Corona de flores,1.66%,15.0
,Corona de laurel,0.78%,7.0
,Cortina roja,0.67%,6.0
,Cortinas,2.22%,20.0
,Cosecha de trigo,0.33%,3.0
,Costa,0.89%,8.0
,Costumbres,0.22%,2.0
,Cristo crucificado,0.44%,4.0
,Crucifijo,0.33%,3.0
,Cruz,3.55%,32.0
,Cruz papal,0.22%,2.0
,Cráneo,0.33%,3.0
,Cuchara,0.78%,7.0
,Cuchillo,1.66%,15.0
,Cuerda,0.78%,7.0
,Cuerno,0.55%,5.0
,Cueva,0.22%,2.0
,Custodia,0.11%,1.0
,Cáliz,0.89%,8.0
,Cántaro,4.66%,42.0
,Cárcel,0.11%,1.0
,Cíngulo,0.22%,2.0
,Dedo,0.11%,1.0
,Demonio,0.11%,1.0
,Demonios,0.11%,1.0
,Descalzo,2.22%,20.0
,Descanso,0.11%,1.0
,Desconsuelo,0.11%,1.0
,Dorado,0.11%,1.0
,Dos velas,0.11%,1.0
,Dragón,0.11%,1.0
,Edificación,4.21%,38.0
,Elefante,0.33%,3.0
,Enfermedad,0.33%,3.0
,Enfermos,0.11%,1.0
,Enredadera de flores,0.11%,1.0
,Escalera,1.22%,11.0
,Escoba,0.11%,1.0
,Escribano,0.11%,1.0
,Escudo,2.00%,18.0
,Escudo heráldico,0.11%,1.0
,Escultura,0.44%,4.0
,Esfera,0.67%,6.0
,Espada,4.55%,41.0
,Espejo,1.55%,14.0
,Espíritu santo,0.33%,3.0
,Estatua,0.44%,4.0
,Estera,0.67%,6.0
,Estigma,0.11%,1.0
,Estrella,0.44%,4.0
,Familia,5.65%,51.0
,Faro,0.33%,3.0
,Farol,0.11%,1.0
,Flauta,1.00%,9.0
,Flechas,0.89%,8.0
,Flores,14.41%,130.0
,Flores blancas,2.00%,18.0
,Flores rojas,2.66%,24.0
,Fruta,9.42%,85.0
,Frutas,4.99%,45.0
,Frutero,0.11%,1.0
,Frutos,0.67%,6.0
,Fuego,2.44%,22.0
,Fuente,3.33%,30.0
,Gafas,0.22%,2.0
,Gallo,1.66%,15.0
,Garzas,0.33%,3.0
,Gato,0.11%,1.0
,Guante,0.33%,3.0
,Guirnalda,0.33%,3.0
,Guitarra,1.55%,14.0
,Habitación,6.32%,57.0
,Habito eclesiástico,1.88%,17.0
,Hacha,0.44%,4.0
,Herida,0.22%,2.0
,Herramientas,1.00%,9.0
,Hilo,1.77%,16.0
,Hoja de papel,3.10%,28.0
,Hoz,0.67%,6.0
,Huerto,0.11%,1.0
,Huevo,0.89%,8.0
,Humo,0.44%,4.0
,Huso,0.11%,1.0
,Iglesia,2.22%,20.0
,Incienso,0.11%,1.0
,Indígena,5.54%,50.0
,Instrumentos de castigo,0.11%,1.0
,Instrumentos musicales,4.88%,44.0
,Jardín,1.11%,10.0
,Jardín cerrado,0.11%,1.0
,Jarra,2.77%,25.0
,Jarrón,0.78%,7.0
,Jaula,0.55%,5.0
,Jesús,0.11%,1.0
,Joyas,21.29%,192.0
,Juguetes,2.00%,18.0
,Laguna,0.89%,8.0
,Lanza,5.32%,48.0
,Lanzas,1.88%,17.0
,Laurel,0.33%,3.0
,Lazo,0.11%,1.0
,Laúd,0.22%,2.0
,Leche,0.67%,6.0
,Leopardo,0.33%,3.0
,León,1.11%,10.0
,Libra,0.11%,1.0
,Libro,2.77%,25.0
,Lirio,0.11%,1.0
,Llama de fuego,0.11%,1.0
,Llave,0.44%,4.0
,Lobo,0.11%,1.0
,Luna,0.33%,3.0
,Luz,0.67%,6.0
,Lámpara,0.33%,3.0
,Lápida,0.22%,2.0
,Látigo,1.33%,12.0
,Mandolina,0.44%,4.0
,Mandorla,0.22%,2.0
,Mano,0.33%,3.0
,Manto,6.32%,57.0
,Manto Verde,0.22%,2.0
,Manto blanco,0.55%,5.0
,Manto negro,1.22%,11.0
,Manto rojo,0.55%,5.0
,Manto translucido,1.00%,9.0
,Manzana,0.33%,3.0
,Manzanas,0.89%,8.0
,Mar,5.54%,50.0
,Maraca,0.44%,4.0
,Marimba,0.44%,4.0
,Martillo,0.22%,2.0
,Mechones de cabello,0.22%,2.0
,Medalla,0.11%,1.0
,Media luna,0.55%,5.0
,Mesa,10.86%,98.0
,Mitra,0.33%,3.0
,Monasterio,0.11%,1.0
,Moneda,0.33%,3.0
,Montaña,8.87%,80.0
,Monte,0.11%,1.0
,Muerte,0.89%,8.0
,Muertos,0.11%,1.0
,Mujer negra,1.66%,15.0
,Mundo,0.22%,2.0
,Muralla,0.78%,7.0
,Máscara,0.11%,1.0
,Negro,1.88%,17.0
,Nimbo de luz,1.00%,9.0
,Niño Jesús,0.11%,1.0
,Niño negro,1.44%,13.0
,Niños,34.15%,308.0
,Nube,8.31%,75.0
,Obelisco,0.11%,1.0
,Oceano,0.55%,5.0
,Ofrenda,0.11%,1.0
,Ojos,0.22%,2.0
,Olivo,0.11%,1.0
,Olla,2.99%,27.0
,Oro,0.11%,1.0
,Oveja,0.89%,8.0
,Paisaje,31.37%,283.0
,Pala,0.11%,1.0
,Palma,2.00%,18.0
,Palma del martirio,0.22%,2.0
,Palmera,0.44%,4.0
,Palo,2.55%,23.0
,Paloma,0.89%,8.0
,Pan,1.33%,12.0
,Pandereta,0.22%,2.0
,Partitura,0.55%,5.0
,Pasto,2.44%,22.0
,Pastor,0.11%,1.0
,Pavo real,1.00%,9.0
,Paño,0.22%,2.0
,Pañuelo,0.55%,5.0
,Pañuelo blanco,0.11%,1.0
,Pelo,0.22%,2.0
,Penacho,2.88%,26.0
,Perro,6.10%,55.0
,Personas miniatura,4.55%,41.0
,Pez,1.44%,13.0
,Piedra,6.32%,57.0
,Pila,0.11%,1.0
,Pila de agua bendita,0.11%,1.0
,Pincel,0.33%,3.0
,Pipa,0.33%,3.0
,Plantas,13.64%,123.0
,Plato roto,0.22%,2.0
,Platos,11.20%,101.0
,Platón,0.78%,7.0
,Plaza,1.33%,12.0
,Pluma,5.10%,46.0
,Pobreza (mendigo),0.22%,2.0
,Primate,0.22%,2.0
,Pueblo,1.44%,13.0
,Puente,1.55%,14.0
,Puerta,2.33%,21.0
,Puntilla,0.11%,1.0
,Pájaro,1.66%,15.0
,Querubín(es),1.44%,13.0
,Ramas,4.88%,44.0
,Ramo de flores,0.55%,5.0
,Rayo,0.22%,2.0
,Raza,2.66%,24.0
,Rebaño,0.33%,3.0
,Redoma,0.11%,1.0
,Reloj,0.44%,4.0
,Reloj de arena,0.11%,1.0
,Remo,1.22%,11.0
,Rey,0.55%,5.0
,Reyes magos,0.22%,2.0
,Rompimiento de gloria,1.33%,12.0
,Rosa blanca,0.11%,1.0
,Rosa roja,0.44%,4.0
,Rosario,0.33%,3.0
,Rosas,0.11%,1.0
,Rostros,0.55%,5.0
,Rueda,1.11%,10.0
,Río,5.88%,53.0
,San José,0.11%,1.0
,Sandalias,0.22%,2.0
,Sangre,0.44%,4.0
,Santos,0.22%,2.0
,Seno al descubierto,2.00%,18.0
,Serpiente,0.55%,5.0
,Servicio,0.11%,1.0
,"Servicio
Trabajo",1.11%,10.0
,Silla,5.54%,50.0
,Sin datos,0.22%,2.0
,Sisne,0.22%,2.0
,Sol,1.44%,13.0
,Soldados,2.00%,18.0
,Sombrero,36.36%,328.0
,Sombrilla,0.11%,1.0
,Tambor,1.11%,10.0
,Tela roja,0.33%,3.0
,Telas,5.65%,51.0
,Temor,0.11%,1.0
,Templo,0.33%,3.0
,Tenazas,0.22%,2.0
,Tiara papal,0.11%,1.0
,Tijeras,1.11%,10.0
,Timón,0.11%,1.0
,Tintero,0.89%,8.0
,Tocado,0.33%,3.0
,Tormenta,0.44%,4.0
,Toro,0.33%,3.0
,Torre,0.78%,7.0
,Trabajo,2.44%,22.0
,Tridente,0.22%,2.0
,Trigo,0.78%,7.0
,Trinidad,0.11%,1.0
,Triángulo equilátero,0.22%,2.0
,Trompeta,0.55%,5.0
,Tronco,3.66%,33.0
,Trono,0.44%,4.0
,Turbante,0.22%,2.0
,Túnica,1.66%,15.0
,Túnica Amarilla,0.11%,1.0
,Túnica Purpura,0.11%,1.0
,Túnica azul,0.33%,3.0
,Túnica roja,0.33%,3.0
,Uvas,2.22%,20.0
,Vaca,0.67%,6.0
,Vara,1.33%,12.0
,Vara de esculapio,0.11%,1.0
,Vasija,3.33%,30.0
,Vasijas,0.22%,2.0
,Vasos,2.66%,24.0
,Vela,2.22%,20.0
,Velo,1.22%,11.0
,Venado,0.33%,3.0
,Ventana,5.65%,51.0
,Vestido,21.40%,193.0
,Vino,0.78%,7.0
,Violonchelo,0.33%,3.0
,Violín,1.00%,9.0
,Virgen María,0.33%,3.0
,Virgen con niño,0.22%,2.0
,carreta,0.67%,6.0
,papagayo,0.11%,1.0
,piña,0.55%,5.0
,ruinas,0.22%,2.0
,Águila,0.89%,8.0
,Ángeles,3.44%,31.0
,Árbol,38.03%,343.0
