,pais,Participación,conteo
,Rayo,1.55%,8.0
,Rebaño,0.19%,1.0
,Reloj,1.75%,9.0
,Reloj de arena,0.39%,2.0
,Rollo,0.39%,2.0
,Rompimiento de gloria,7.77%,40.0
,Rosa blanca,0.78%,4.0
,Rosa roja,0.78%,4.0
,Rosario,1.94%,10.0
,Rueca,0.19%,1.0
,Rueda,0.39%,2.0
,Rueda arpada,0.97%,5.0
,Sagrado corazón,0.19%,1.0
,Sangre,2.91%,15.0
,Santos,0.19%,1.0
,Serpiente,3.50%,18.0
,Sin datos,0.39%,2.0
,Soga,1.94%,10.0
,Sol,12.82%,66.0
,Sombrero,2.91%,15.0
,Sudario,0.19%,1.0
,Sábana,0.19%,1.0
,Símbolos de la pasión,0.78%,4.0
,Templete,0.19%,1.0
,Tenazas,0.39%,2.0
,Tiara,14.95%,77.0
,Tiara papal,0.58%,3.0
,Tijeras,0.58%,3.0
,Tintero,0.78%,4.0
,Toro,0.19%,1.0
,Torre,1.36%,7.0
,Tortura,5.44%,28.0
,Tridente,0.19%,1.0
,Trigo,0.39%,2.0
,Trinidad,0.39%,2.0
,Triángulo Musical,0.19%,1.0
,Triángulo equilátero,13.40%,69.0
,Trompeta,0.97%,5.0
,Trompeta juico final,5.05%,26.0
,Trono,0.19%,1.0
,Ungüento,0.39%,2.0
,Unicornio,0.19%,1.0
,Uvas,0.78%,4.0
,Vara,2.72%,14.0
,Vara florida,3.88%,20.0
,Vela,4.27%,22.0
,Ventana,0.19%,1.0
,Vino,0.39%,2.0
,Violín,0.97%,5.0
,Vísceras,0.58%,3.0
,Águila,1.17%,6.0
,Ángeles,2.91%,15.0
,Árbol,1.17%,6.0
,Árbol del conocimiento,0.39%,2.0
,Órgano,0.78%,4.0
